id,k,B_U,Opt_U,ObjVal_dt_U,ObjVal_rf_U,Gap_dt_U,Gap_rf_U
5,2,7,220,223,223,1.3636363636363635,1.3636363636363635
5,3,7,214,222,214,3.7383177570093453,0.0
5,4,7,187,191,201,2.13903743315508,7.4866310160427805
5,5,7,175,185,205,5.714285714285714,17.142857142857142
5,6,7,560,565,565,0.8928571428571428,0.8928571428571428
5,7,7,386,421,535,9.067357512953368,38.60103626943005
5,8,7,552,561,561,1.6304347826086956,1.6304347826086956
5,9,7,416,423,461,1.6826923076923077,10.817307692307693
5,10,7,530,530,530,0.0,0.0
5,1,8,127,158,194,24.409448818897637,52.75590551181102
5,2,8,203,206,206,1.477832512315271,1.477832512315271
5,3,8,198,204,198,3.0303030303030303,0.0
5,4,8,173,177,201,2.312138728323699,16.184971098265898
5,5,8,162,173,205,6.790123456790123,26.543209876543212
5,6,8,518,524,518,1.1583011583011582,0.0
5,7,8,350,385,533,10.0,52.28571428571429
5,8,8,515,539,561,4.660194174757281,8.932038834951456
5,9,8,386,399,461,3.3678756476683938,19.4300518134715
5,10,8,492,503,530,2.2357723577235773,7.723577235772358
5,1,9,114,146,194,28.07017543859649,70.17543859649122
5,2,9,188,188,188,0.0,0.0
5,3,9,182,185,182,1.6483516483516485,0.0
5,4,9,160,163,201,1.875,25.624999999999996
5,5,9,149,163,205,9.395973154362416,37.58389261744966
5,6,9,477,477,477,0.0,0.0
5,7,9,314,359,533,14.331210191082802,69.7452229299363
5,8,9,480,514,561,7.083333333333333,16.875
5,9,9,356,372,461,4.49438202247191,29.49438202247191
5,10,9,455,478,530,5.054945054945055,16.483516483516482
