id,k,B_,Opt_,ObjVal_dt_,ObjVal_rf_,Gap_dt_,Gap_rf_
5,7,40,414,0,0,-100.0,-100.0
5,8,40,576,0,0,-100.0,-100.0
5,9,40,445,0,0,-100.0,-100.0
5,10,40,614,0,0,-100.0,-100.0
5,1,80,165,0,0,-100.0,-100.0
5,2,80,229,0,0,-100.0,-100.0
5,3,80,214,0,0,-100.0,-100.0
5,4,80,222,0,0,-100.0,-100.0
5,5,80,172,0,0,-100.0,-100.0
5,6,80,566,0,0,-100.0,-100.0
5,7,80,307,0,0,-100.0,-100.0
5,8,80,452,0,0,-100.0,-100.0
5,9,80,370,0,0,-100.0,-100.0
5,10,80,498,0,0,-100.0,-100.0
5,1,120,144,0,0,-100.0,-100.0
5,2,120,202,0,0,-100.0,-100.0
5,3,120,186,0,0,-100.0,-100.0
5,4,120,190,0,0,-100.0,-100.0
5,5,120,145,0,0,-100.0,-100.0
5,6,120,479,0,0,-100.0,-100.0
5,7,120,252,0,0,-100.0,-100.0
5,8,120,351,0,0,-100.0,-100.0
5,9,120,308,0,0,-100.0,-100.0
5,10,120,422,0,0,-100.0,-100.0
5,1,150,130,0,0,-100.0,-100.0
5,2,150,186,0,0,-100.0,-100.0
5,3,150,170,0,0,-100.0,-100.0
5,4,150,171,0,0,-100.0,-100.0
5,5,150,130,0,0,-100.0,-100.0
5,6,150,432,0,0,-100.0,-100.0
5,7,150,219,0,0,-100.0,-100.0
5,8,150,283,0,0,-100.0,-100.0
5,9,150,279,0,0,-100.0,-100.0
5,10,150,363,0,0,-100.0,-100.0
5,1,200,111,0,0,-100.0,-100.0
5,2,200,162,0,0,-100.0,-100.0
5,3,200,147,0,0,-100.0,-100.0
5,4,200,146,0,0,-100.0,-100.0
5,5,200,106,0,0,-100.0,-100.0
5,6,200,359,0,0,-100.0,-100.0
5,7,200,174,0,0,-100.0,-100.0
5,8,200,210,0,0,-100.0,-100.0
5,9,200,236,0,0,-100.0,-100.0
5,10,200,280,0,0,-100.0,-100.0
